5032914,* MOFid-v1.NA.NA;5032914,
5032925,N=NC12C3C4(C2(C2C1(C3(C42N=N)N=N)C#CC(=O)[O-])N=N)C#CC(=O)[O-].N=NC12C3C4C2(C2C1C3(C42)C#CC(=O)[O-])C#CC(=O)[O-].N=NC1=C(C(=O)[O-])C2=NNNN3[C]2C2=C1N([NH])O[C]1N2C(=c2c4c1c(N=N)c1c5c4c4c(c2)n([NH])n2c6c4c4c5c(n(n1[NH])[NH])cc1c4c(c6n[nH][nH]2)c2n4-c5c(n(oc14)[NH])cc(c(c5n(o2)[NH])N=N)C(=O)[O-])O3.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;5032925,Zn.AHQDDMBAZMRGBV.KMERHHAHCWXMDU.YWBAACBUHSPUTH.MOFkey-v1.pcu
5032926,N=NC12C3C4C2(C2(C1C3(C42N=N)C#CC(=O)[O-])N=N)C#CC(=O)[O-].N=Nc1c(cc2c3c1[N]NO[C]1N3C(=c3c4c1c(N=N)c1c5c4c(cc3N=N)c3c(N=N)c4=NNOC6=c4c4c3c5c([N]3(N1N3)[NH])c(c4=C1N6c3cc4[N]NOC(=O)c4cc3[N]NO1)N=N)ON[N]2)C(=O)[O-].N=Nc1cc(cc2c1C(=O)ON[N]2)N1C(=O)c2cc3c4c5c2c(C1=O)c(N=N)cc5c1c2c4[C]4n(n3[NH])[nH][nH]nc4c3c2c(cc1N=N)C(=O)N(C3=O)c1cc(N=N)c(c(c1)N=N)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu,sql.cat0;5032926,Zn.HOUMKYWWYPCTEE.MTZGEIBIKPIICV.TWYUNGXKENRVDU.MOFkey-v1.pcu
5032927,N=NC12C3C4C2(C2(C1C3(C42N=N)C#CC(=O)[O-])N=N)C#CC(=O)[O-].N=Nc1c(cc2c3c1[N]NO[C]1N3C(=c3c4c1c(N=N)c1c5c4c(cc3N=N)c3c(N=N)c4=NNOC6=c4c4c3c5c([N]3(N1N3)[NH])c(c4=C1N6c3cc4[N]NOC(=O)c4cc3[N]NO1)N=N)ON[N]2)C(=O)[O-].N=Nc1cc(cc2c1C(=O)ON[N]2)N1C(=O)c2cc3c4c5c2c(C1=O)c(N=N)cc5c1c2c4[C]4n(n3[NH])[nH][nH]nc4c3c2c(cc1N=N)C(=O)N(C3=O)c1cc(N=N)c(c(c1)N=N)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu,sql.cat1;5032927,Zn.HOUMKYWWYPCTEE.MTZGEIBIKPIICV.TWYUNGXKENRVDU.MOFkey-v1.pcu
5032928,N=NC12C3C4C2(C2(C1C3(C42N=N)C#CC(=O)[O-])N=N)C#CC(=O)[O-].N=Nc1c(cc2c3c1[N]NO[C]1N3C(=c3c4c1c(N=N)c1c5c4c(cc3N=N)c3c(N=N)c4=NNOC6=c4c4c3c5c([N]3(N1N3)[NH])c(c4=C1N6c3cc4[N]NOC(=O)c4cc3[N]NO1)N=N)ON[N]2)C(=O)[O-].N=Nc1cc(cc2c1C(=O)ON[N]2)N1C(=O)c2cc3c4c5c2c(C1=O)c(N=N)cc5c1c2c4[C]4n(n3[NH])[nH][nH]nc4c3c2c(cc1N=N)C(=O)N(C3=O)c1cc(N=N)c(c(c1)N=N)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu,sql.cat2;5032928,Zn.HOUMKYWWYPCTEE.MTZGEIBIKPIICV.TWYUNGXKENRVDU.MOFkey-v1.pcu
5032929,[O-]C(=O)c1ccc(cc1)C=Cc1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc(cc1)N1C(=O)c2ccc3c4c2c(C1=O)ccc4c1c2c3ccc3c2c(cc1)C(=O)N(C3=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;5032929,Zn.SBBQDUFLZGOASY.YMMKEOAJUVQIGY.MOFkey-v1.pcu
5032930,[O-]C(=O)c1ccc(cc1)C=Cc1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc(cc1)N1C(=O)c2ccc3c4c2c(C1=O)ccc4c1c2c3ccc3c2c(cc1)C(=O)N(C3=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;5032930,Zn.SBBQDUFLZGOASY.YMMKEOAJUVQIGY.MOFkey-v1.pcu
5032931,[O-]C(=O)c1ccc(cc1)C=Cc1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc(cc1)N1C(=O)c2ccc3c4c2c(C1=O)ccc4c1c2c3ccc3c2c(cc1)C(=O)N(C3=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2;5032931,Zn.SBBQDUFLZGOASY.YMMKEOAJUVQIGY.MOFkey-v1.pcu
5032932,[O-]C(=O)c1ccc(cc1)C=Cc1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc(cc1)N1C(=O)c2ccc3c4c2c(C1=O)ccc4c1c2c3ccc3c2c(cc1)C(=O)N(C3=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat3;5032932,Zn.SBBQDUFLZGOASY.YMMKEOAJUVQIGY.MOFkey-v1.pcu
5032933,[O-]C(=O)c1ccc(cc1)C=Cc1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc(cc1)N1C(=O)c2ccc3c4c2c(C1=O)ccc4c1c2c3ccc3c2c(cc1)C(=O)N(C3=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;5032933,Zn.SBBQDUFLZGOASY.YMMKEOAJUVQIGY.MOFkey-v1.pcu
5032934,[O-]C(=O)c1ccc(cc1)C=Cc1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc(cc1)N1C(=O)c2ccc3c4c2c(C1=O)ccc4c1c2c3ccc3c2c(cc1)C(=O)N(C3=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;5032934,Zn.SBBQDUFLZGOASY.YMMKEOAJUVQIGY.MOFkey-v1.pcu
5032935,[O-]C(=O)c1ccc(cc1)C=Cc1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc(cc1)N1C(=O)c2ccc3c4c2c(C1=O)ccc4c1c2c3ccc3c2c(cc1)C(=O)N(C3=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2;5032935,Zn.SBBQDUFLZGOASY.YMMKEOAJUVQIGY.MOFkey-v1.pcu
5032936,[O-]C(=O)c1ccc(cc1)C=Cc1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc(cc1)N1C(=O)c2ccc3c4c2c(C1=O)ccc4c1c2c3ccc3c2c(cc1)C(=O)N(C3=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat3;5032936,Zn.SBBQDUFLZGOASY.YMMKEOAJUVQIGY.MOFkey-v1.pcu
5032937,Fc1cc(C(=O)[O-])c(cc1C=Cc1cc(F)c(c(c1F)F)C(=O)[O-])F.[O-]C(=O)C1=CC=C([C]=C1)[C]=[C]C1=CC(=C(C(=[C]1)F)C(=O)[O-])F.[O-]C(=O)c1ccc(cc1)N1C(=O)c2c(F)cc3c4c2c(C1=O)c(F)cc4c1c2c3ccc3c2c(c(c1F)F)C(=O)N(C3=O)c1ccc(c(c1)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;5032937,Zn.QXCRYXWFSQHUOJ.RURWRUNOLDHCAS.SRQWDECYVWAYIM.MOFkey-v1.pcu
5032938,Fc1cc(C(=O)[O-])c(cc1C=Cc1cc(F)c(c(c1F)F)C(=O)[O-])F.[O-]C(=O)C1=CC=C([C]=C1)[C]=[C]C1=CC(=C(C(=[C]1)F)C(=O)[O-])F.[O-]C(=O)c1ccc(cc1)N1C(=O)c2c(F)cc3c4c2c(C1=O)c(F)cc4c1c2c3ccc3c2c(c(c1F)F)C(=O)N(C3=O)c1ccc(c(c1)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;5032938,Zn.QXCRYXWFSQHUOJ.RURWRUNOLDHCAS.SRQWDECYVWAYIM.MOFkey-v1.pcu
5032939,Fc1cc(C(=O)[O-])c(cc1C=Cc1cc(F)c(c(c1F)F)C(=O)[O-])F.[O-]C(=O)C1=CC=C([C]=C1)[C]=[C]C1=CC(=C(C(=[C]1)F)C(=O)[O-])F.[O-]C(=O)C1=C[C]=C(C=C1)[C]=[C]C1=CC(=C(C(=[C]1)F)C(=O)[O-])F.[O-]C(=O)c1ccc(cc1)N1C(=O)c2c(F)cc3c4c2c(C1=O)c(F)cc4c1c2c3ccc3c2c(c(c1F)F)C(=O)N(C3=O)c1ccc(c(c1)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2;5032939,Zn.QXCRYXWFSQHUOJ.RURWRUNOLDHCAS.SRQWDECYVWAYIM.MOFkey-v1.pcu
5032940,FC(=Cc1cc(F)c(c(c1)F)C(=O)[O-])c1c(F)cc(c(c1F)F)C(=O)[O-].[O-]C(=O)c1ccc(cc1)C=C(c1ccc(cc1F)C(=O)[O-])F.[O-]C(=O)c1ccc(cc1F)N1C(=O)c2ccc3c4c2c(C1=O)ccc4c1c2c3ccc3c2c(cc1F)C(=O)N(C3=O)c1ccc(c(c1F)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;5032940,Zn.KIEXCRXHLKFCBI.MLPZYTNDSSIXLA.RMEGCGPAANQRSB.MOFkey-v1.pcu
5032941,FC(=Cc1cc(F)c(c(c1)F)C(=O)[O-])c1c(F)cc(c(c1F)F)C(=O)[O-].[O-]C(=O)c1ccc(cc1)C=C(c1ccc(cc1F)C(=O)[O-])F.[O-]C(=O)c1ccc(cc1F)N1C(=O)c2ccc3c4c2c(C1=O)ccc4c1c2c3ccc3c2c(cc1F)C(=O)N(C3=O)c1ccc(c(c1F)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;5032941,Zn.KIEXCRXHLKFCBI.MLPZYTNDSSIXLA.RMEGCGPAANQRSB.MOFkey-v1.pcu
5032942,FC(=Cc1cc(F)c(c(c1)F)C(=O)[O-])c1c(F)cc(c(c1F)F)C(=O)[O-].[O-]C(=O)c1ccc(cc1)C=C(c1ccc(cc1F)C(=O)[O-])F.[O-]C(=O)c1ccc(cc1F)N1C(=O)c2ccc3c4c2c(C1=O)ccc4c1c2c3ccc3c2c(cc1F)C(=O)N(C3=O)c1ccc(c(c1F)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2;5032942,Zn.KIEXCRXHLKFCBI.MLPZYTNDSSIXLA.RMEGCGPAANQRSB.MOFkey-v1.pcu
5032943,FC(=Cc1ccc(c(c1F)F)C(=O)[O-])c1ccc(cc1)C(=O)[O-].Fc1cc(C(=O)[O-])c(cc1C=C(c1ccc(cc1F)C(=O)[O-])F)F.[O-]C(=O)c1ccc(cc1)N1C(=O)c2ccc3c4c2c(C1=O)cc(c4c1c2c3c(F)c(F)c3c2c(cc1)C(=O)N(C3=O)c1ccc(c(c1)F)C(=O)[O-])F.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;5032943,Zn.CRCBFRJIDCBEHL.KCKYBWAFHURISJ.NBVCIROSMSKLGZ.MOFkey-v1.pcu
5032944,FC(=Cc1ccc(c(c1F)F)C(=O)[O-])c1ccc(cc1)C(=O)[O-].Fc1cc(C(=O)[O-])c(cc1C=C(c1ccc(cc1F)C(=O)[O-])F)F.[O-]C(=O)c1ccc(cc1)N1C(=O)c2ccc3c4c2c(C1=O)cc(c4c1c2c3c(F)c(F)c3c2c(cc1)C(=O)N(C3=O)c1ccc(c(c1)F)C(=O)[O-])F.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;5032944,Zn.CRCBFRJIDCBEHL.KCKYBWAFHURISJ.NBVCIROSMSKLGZ.MOFkey-v1.pcu
5032945,FC(=Cc1ccc(c(c1F)F)C(=O)[O-])c1ccc(cc1)C(=O)[O-].Fc1cc(C(=O)[O-])c(cc1C=C(c1ccc(cc1F)C(=O)[O-])F)F.[O-]C(=O)c1ccc(cc1)N1C(=O)c2ccc3c4c2c(C1=O)cc(c4c1c2c3c(F)c(F)c3c2c(cc1)C(=O)N(C3=O)c1ccc(c(c1)F)C(=O)[O-])F.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2;5032945,Zn.CRCBFRJIDCBEHL.KCKYBWAFHURISJ.NBVCIROSMSKLGZ.MOFkey-v1.pcu
5032946,FC(=Cc1ccc(c(c1F)F)C(=O)[O-])c1ccc(cc1)C(=O)[O-].Fc1cc(C(=O)[O-])c(cc1C=C(c1ccc(cc1F)C(=O)[O-])F)F.[O-]C(=O)c1ccc(cc1)N1C(=O)c2ccc3c4c2c(C1=O)cc(c4c1c2c3c(F)c(F)c3c2c(cc1)C(=O)N(C3=O)c1ccc(c(c1)F)C(=O)[O-])F.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat3;5032946,Zn.CRCBFRJIDCBEHL.KCKYBWAFHURISJ.NBVCIROSMSKLGZ.MOFkey-v1.pcu
5032947,FC(=Cc1cc(F)c(cc1F)C(=O)[O-])c1ccc(c(c1)F)C(=O)[O-].[O-]C(=O)C1=C(F)[C]=C(C(=C1F)F)C=[C]c1cc(F)c(cc1F)C(=O)[O-].[O-]C(=O)c1cc(F)c(cc1F)N1C(=O)c2ccc3c4c2c(C1=O)ccc4c1c2c3ccc3c2c(c(c1)F)C(=O)N(C3=O)c1c(F)c(F)c(c(c1F)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;5032947,Zn.BUQFXWIJFNXKKH.GQTHNAPFXIZSQT.SZBPHUBFYSXJJW.MOFkey-v1.pcu
5032948,FC(=Cc1cc(F)c(cc1F)C(=O)[O-])c1ccc(c(c1)F)C(=O)[O-].[O-]C(=O)C1=C(F)[C]=C(C(=C1F)F)C=[C]c1cc(F)c(cc1F)C(=O)[O-].[O-]C(=O)c1cc(F)c(cc1F)N1C(=O)c2ccc3c4c2c(C1=O)ccc4c1c2c3ccc3c2c(c(c1)F)C(=O)N(C3=O)c1c(F)c(F)c(c(c1F)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;5032948,Zn.BUQFXWIJFNXKKH.GQTHNAPFXIZSQT.SZBPHUBFYSXJJW.MOFkey-v1.pcu
5032949,FC(=Cc1cc(F)c(cc1F)C(=O)[O-])c1ccc(c(c1)F)C(=O)[O-].[O-]C(=O)C1=C(F)C(=C([C]=C1F)C=[C]c1cc(F)c(cc1F)C(=O)[O-])F.[O-]C(=O)C1=C(F)[C]=C(C(=C1F)F)C=[C]c1cc(F)c(cc1F)C(=O)[O-].[O-]C(=O)c1cc(F)c(cc1F)N1C(=O)c2ccc3c4c2c(C1=O)ccc4c1c2c3ccc3c2c(c(c1)F)C(=O)N(C3=O)c1c(F)c(F)c(c(c1F)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2;5032949,Zn.BUQFXWIJFNXKKH.GQTHNAPFXIZSQT.SZBPHUBFYSXJJW.MOFkey-v1.pcu
5032950,FC(=Cc1cc(F)c(cc1F)C(=O)[O-])c1ccc(c(c1)F)C(=O)[O-].[O-]C(=O)C1=C(F)[C]=C(C(=C1F)F)C=[C]c1cc(F)c(cc1F)C(=O)[O-].[O-]C(=O)c1cc(F)c(cc1F)N1C(=O)c2ccc3c4c2c(C1=O)ccc4c1c2c3ccc3c2c(c(c1)F)C(=O)N(C3=O)c1c(F)c(F)c(c(c1F)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat3;5032950,Zn.BUQFXWIJFNXKKH.GQTHNAPFXIZSQT.SZBPHUBFYSXJJW.MOFkey-v1.pcu
5032951,Fc1cc(C(=O)[O-])c(cc1C=Cc1cc(F)c(c(c1F)F)C(=O)[O-])F.[O-]C(=O)c1c(F)cc(c(c1F)F)N1C(=O)c2cc(F)c3c4c2c(C1=O)c(F)cc4c1c2c3cc(F)c3c2c(c(c1F)F)C(=O)N(C3=O)c1c(F)c(F)c(c(c1F)F)C(=O)[O-].[O-]C(=O)c1c(F)cc(cc1F)C=C(c1c(F)c(F)c(c(c1F)F)C(=O)[O-])F.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;5032951,Zn.DEFOWTMXRNIHIM.PAVZERICIFRVTN.SRQWDECYVWAYIM.MOFkey-v1.pcu
5032952,Fc1cc(C(=O)[O-])c(cc1C=Cc1cc(F)c(c(c1F)F)C(=O)[O-])F.[O-]C(=O)c1c(F)cc(c(c1F)F)N1C(=O)c2cc(F)c3c4c2c(C1=O)c(F)cc4c1c2c3cc(F)c3c2c(c(c1F)F)C(=O)N(C3=O)c1c(F)c(F)c(c(c1F)F)C(=O)[O-].[O-]C(=O)c1c(F)cc(cc1F)C=C(c1c(F)c(F)c(c(c1F)F)C(=O)[O-])F.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;5032952,Zn.DEFOWTMXRNIHIM.PAVZERICIFRVTN.SRQWDECYVWAYIM.MOFkey-v1.pcu
5032953,Fc1cc(C(=O)[O-])c(cc1C=Cc1cc(F)c(c(c1F)F)C(=O)[O-])F.[O-]C(=O)c1c(F)cc(c(c1F)F)N1C(=O)c2cc(F)c3c4c2c(C1=O)c(F)cc4c1c2c3cc(F)c3c2c(c(c1F)F)C(=O)N(C3=O)c1c(F)c(F)c(c(c1F)F)C(=O)[O-].[O-]C(=O)c1c(F)cc(cc1F)C=C(c1c(F)c(F)c(c(c1F)F)C(=O)[O-])F.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2;5032953,Zn.DEFOWTMXRNIHIM.PAVZERICIFRVTN.SRQWDECYVWAYIM.MOFkey-v1.pcu
5032954,ClC(=Cc1ccc(c(c1)Cl)C(=O)[O-])c1cc(Cl)c(cc1Cl)C(=O)[O-].ClC1=C(C=[C]c2c(Cl)cc(c(c2Cl)Cl)C(=O)[O-])[C]=C(C(=C1)C(=O)[O-])Cl.ClO[C]1N(C2=CC(=C(C=[C]2)C(=O)[O-])Cl)C(=O)[C]2c3c1c(Cl)c(Cl)c1=c4cc(Cl)c5=C(OCl)N(C(=C6c5c4[C](C(=c31)[C]=C2)[C]=C6)OCl)C1=[C]C=C(C(=[C]1)Cl)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;5032954,Zn.IPXYWLJBZJZZTO.QXQJOGSGICRJOV.SLOCPBANFSHQNS.MOFkey-v1.pcu
