5054871,* MOFid-v1.NA.NA;5054871,
5054885,OO[C]1N(C2=CC(=NC=[C]2)O)C(=O)c2c3c1c(O)cc1c3c(c(c2O)O)C(=O)N(C1=O)c1ccnc(c1)O.OO[C]1N(C2=CC=C(C=[C]2)C(=O)[O-])C(=O)c2c3c1c(O)cc1c3c(cc2O)C(=O)N(C1=O)c1ccc(c(c1O)O)C(=O)[O-].OO[C]1N(C2=[C]C(=C(C(=[C]2)O)C(=O)[O-])O)C(=c2c3=C1C(=C(O)[C]1c3c(c(c2)O)C(=O)N(C1=O)c1c(O)cc(c(c1O)O)C(=O)[O-])O)OO.OO[C]1N(C2=[C][CH]N=C([CH]2)O)C(=O)c2c3c1c(O)cc1c3c(c(c2O)O)C(=O)N(C1=O)c1ccnc(c1)O.[Zn][Zn] MOFid-v1.pcu.cat2;5054885,Zn.BQAJWFDFZFVDNB.BTVMTODOBODAGY.GVQRRTHRICBJDV.MOFkey-v1.pcu
5054886,OO[C]1N(C2=C(O)C=NC=[C]2)C(=O)c2c3c1c(O)c(O)c1c3c(cc2O)C(=O)N(C1=O)c1ccncc1.OO[C]1N(C2=[C]C=C(C=[C]2)C(=O)[O-])C(=c2c3=C1C=C(O)[C]1c3c(cc2O)C(=O)N(C1=O)c1ccc(c(c1)O)C(=O)[O-])OO.[O-]C(=O)c1ccc(cc1O)N1C(=O)c2cc(O)c3c4c2c(C1=O)c(O)cc4C(=O)N(C3=O)c1cc(O)c(c(c1O)O)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;5054886,Zn.DIZVVUBTQPVJMR.FZUXNMLSLCLNIL.QBTJLWHNPVBXET.MOFkey-v1.pcu
5054887,OO[C]1N(C2=C(O)C=NC=[C]2)C(=O)c2c3c1c(O)c(O)c1c3c(cc2O)C(=O)N(C1=O)c1ccncc1.OO[C]1N(C2=[C]C=C(C=[C]2)C(=O)[O-])C(=c2c3=C1C=C(O)[C]1c3c(cc2O)C(=O)N(C1=O)c1ccc(c(c1)O)C(=O)[O-])OO.[O-]C(=O)c1ccc(cc1O)N1C(=O)c2cc(O)c3c4c2c(C1=O)c(O)cc4C(=O)N(C3=O)c1cc(O)c(c(c1O)O)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat1;5054887,Zn.DIZVVUBTQPVJMR.FZUXNMLSLCLNIL.QBTJLWHNPVBXET.MOFkey-v1.pcu
5054888,OO[C]1N(C2=C(O)C=NC=[C]2)C(=O)c2c3c1c(O)c(O)c1c3c(cc2O)C(=O)N(C1=O)c1ccncc1.OO[C]1N(C2=[C]C=C(C=[C]2)C(=O)[O-])C(=c2c3=C1C(=C[C]1c3c(c(c2)O)C(=O)N(C1=O)c1ccc(c(c1)O)C(=O)[O-])O)OO.OO[C]1N(C2=[C]C=C(C=[C]2)C(=O)[O-])C(=c2c3=C1C=C(O)[C]1c3c(cc2O)C(=O)N(C1=O)c1ccc(c(c1)O)C(=O)[O-])OO.[O-]C(=O)c1ccc(cc1O)N1C(=O)c2cc(O)c3c4c2c(C1=O)c(O)cc4C(=O)N(C3=O)c1cc(O)c(c(c1O)O)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat2;5054888,Zn.DIZVVUBTQPVJMR.FZUXNMLSLCLNIL.QBTJLWHNPVBXET.MOFkey-v1.pcu
5054889,OO[C]1N(C2=[C]C(=[N]=C([CH]2)O)O)C(=O)c2c3c1ccc1c3c(c(c2O)O)[C](N(C1=O)C1=[C][CH]N=C([CH]1)O)OO.OO[C]1N(C2=[C]C=C(C(=C2)O)C(=O)[O-])C(=O)c2c3c1c(O)c(O)c1c3c(c(c2)O)C(=O)N(C1=O)c1cc(O)c(cc1O)C(=O)[O-].[O-]C(=O)C1=C(O)C=C(C(=[C]1)O)N1C(=O)c2cc(O)c3c4c2c(C1=O)c(O)cc4C(=O)N(C3=O)c1c(O)cc(cc1O)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;5054889,Zn.GZHLGYVWGHVTAR.KJLQMOROQHRBEU.PYEPZYHSAYFTQH.MOFkey-v1.pcu
5054890,OO[C]1N(C2=[C]C(=[N]=C([CH]2)O)O)C(=O)c2c3c1ccc1c3c(c(c2O)O)[C](N(C1=O)C1=CC(=NC=[C]1)O)OO.OO[C]1N(C2=[C]C(=[N]=C([CH]2)O)O)C(=O)c2c3c1ccc1c3c(c(c2O)O)[C](N(C1=O)C1=[C][CH]N=C([CH]1)O)OO.OO[C]1N(C2=[C]C=C(C(=C2)O)C(=O)[O-])C(=O)c2c3c1c(O)c(O)c1c3c(c(c2)O)C(=O)N(C1=O)c1cc(O)c(cc1O)C(=O)[O-].[O-]C(=O)C1=C(O)C=C(C(=[C]1)O)N1C(=O)c2cc(O)c3c4c2c(C1=O)c(O)cc4C(=O)N(C3=O)c1c(O)cc(cc1O)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat1;5054890,Zn.GZHLGYVWGHVTAR.KJLQMOROQHRBEU.PYEPZYHSAYFTQH.MOFkey-v1.pcu
5054891,OO[C]1N(C2=CC(=C(C=[C]2)C(=O)[O-])O)C(=O)c2c3c1c(O)c(O)c1c3c(c(c2)O)C(=O)N(C1=O)c1cc(O)c(cc1O)C(=O)[O-].OO[C]1N(C2=CC(=[N]=C([C]2)O)O)C(=O)c2c3c1ccc1c3c(c(c2O)O)[C](N(C1=O)C1=[C][CH]N=C([CH]1)O)OO.OO[C]1N(C2=[C]C(=[N]=C([CH]2)O)O)C(=O)c2c3c1ccc1c3c(c(c2O)O)[C](N(C1=O)C1=CC(=NC=[C]1)O)OO.OO[C]1N(C2=[C]C=C(C(=C2)O)C(=O)[O-])C(=O)c2c3c1c(O)c(O)c1c3c(c(c2)O)C(=O)N(C1=O)c1cc(O)c(cc1O)C(=O)[O-].[O-]C(=O)C1=C(O)C=C(C(=[C]1)O)N1C(=O)c2cc(O)c3c4c2c(C1=O)c(O)cc4C(=O)N(C3=O)c1c(O)cc(cc1O)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat2;5054891,Zn.GZHLGYVWGHVTAR.KJLQMOROQHRBEU.PYEPZYHSAYFTQH.MOFkey-v1.pcu
5054892,OC1=[N]=C(O)C=C([CH]1)N1C(=O)c2ccc3c4c2c(C1=O)c(O)c(c4C(=O)N(C3=O)c1ccncc1)O.OO[C]1N(C2=CC(=C(C=[C]2)C(=O)[O-])O)C(=O)c2c3c1cc(O)c1c3c(cc2)C(=O)N([C]1OO)C1=[C]C(=C(C(=C1)O)C(=O)[O-])O.OO[C]1N(C2=[C]C=C(C(=C2)O)C(=O)[O-])C(=O)c2c3c1c(O)cc1c3c(c(c2O)O)C(=O)N(C1=O)c1cc(O)c(c(c1O)O)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;5054892,Zn.BWSGLMYVFVGTLY.JZHPRFMDPSOFBY.YUXGZAHLQGJPRW.MOFkey-v1.pcu
5054893,OC1=[N]=C(O)C=C([CH]1)N1C(=O)c2ccc3c4c2c(C1=O)c(O)c(c4C(=O)N(C3=O)c1ccncc1)O.OO[C]1N(C2=CC(=C(C=[C]2)C(=O)[O-])O)C(=O)c2c3c1cc(O)c1c3c(cc2)C(=O)N([C]1OO)C1=[C]C(=C(C(=C1)O)C(=O)[O-])O.OO[C]1N(C2=[C]C=C(C(=C2)O)C(=O)[O-])C(=O)c2c3c1c(O)cc1c3c(c(c2O)O)C(=O)N(C1=O)c1cc(O)c(c(c1O)O)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat1;5054893,Zn.BWSGLMYVFVGTLY.JZHPRFMDPSOFBY.YUXGZAHLQGJPRW.MOFkey-v1.pcu
5054894,OC1=[N]=C(O)C=C([CH]1)N1C(=O)c2ccc3c4c2c(C1=O)c(O)c(c4C(=O)N(C3=O)c1ccncc1)O.OO[C]1N(C2=CC(=C(C=[C]2)C(=O)[O-])O)C(=O)c2c3c1cc(O)c1c3c(cc2)C(=O)N([C]1OO)C1=[C]C(=C(C(=C1)O)C(=O)[O-])O.OO[C]1N(C2=[C]C=C(C(=C2)O)C(=O)[O-])C(=O)c2c3c1c(O)cc1c3c(c(c2O)O)C(=O)N(C1=O)c1cc(O)c(c(c1O)O)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat2;5054894,Zn.BWSGLMYVFVGTLY.JZHPRFMDPSOFBY.YUXGZAHLQGJPRW.MOFkey-v1.pcu
5054895,N#CC1=C[C]2C(=C([N])O[C]3N2C(=O)c2c4c3cc(C#N)c3c4c(cc2C#N)C(=O)N(C3=O)c2ccc(c(c2)C#N)C(=O)[O-])C=C1C(=O)[O-].N#CC1=C[C]2C(=C([N])O[C]3N2C(=O)c2cc(C#N)c4c5c2c3cc(c5C(=O)N(C4=O)c2ccncc2)C#N)C(=N1)C#N.N#Cc1cc2=c3oc(=[N])c4[C]5n3c(=c3c2c2c1=c1oc([N])c6[C]7n1c(=c2cc3)oc(=[N])c7c(c(c6)C(=O)[O-])C#N)oc(c5c(c(c4C#N)C(=O)[O-])C#N)[N].[Zn][Zn] MOFid-v1.pcu.cat0;5054895,Zn.ABQLOSNUSKQDHU.UFCRUHGBYPWGAX.WPSTTZXSOYTMHW.MOFkey-v1.pcu
5054896,N#CC1=C[C]2C(=C([N])O[C]3N2C(=O)c2c4c3cc(C#N)c3c4c(cc2C#N)C(=O)N(C3=O)c2ccc(c(c2)C#N)C(=O)[O-])C=C1C(=O)[O-].N#CC1=C[C]2C(=C([N])O[C]3N2C(=O)c2cc(C#N)c4c5c2c3cc(c5C(=O)N(C4=O)c2ccncc2)C#N)C(=N1)C#N.N#Cc1cc2=c3oc(=[N])c4[C]5n3c(=c3c2c2c1=c1oc([N])c6[C]7n1c(=c2cc3)oc(=[N])c7c(c(c6)C(=O)[O-])C#N)oc(c5c(c(c4C#N)C(=O)[O-])C#N)[N].[Zn][Zn] MOFid-v1.pcu.cat1;5054896,Zn.ABQLOSNUSKQDHU.UFCRUHGBYPWGAX.WPSTTZXSOYTMHW.MOFkey-v1.pcu
5054897,* MOFid-v1.NA.NA;5054897,
5054898,N#CC1=C2C3=C(C(=CC4=C5N6[C](C(=C1)[C]34)OC(=C1[C]6C(=CN=C1)C(=[N])O5)[N])C#N)[C]1N(C2=O)C2=CC=N[CH]C2=C(O1)[N].N#C[C]1C(=CC=C2C1=C([N])O[C]1N2C(=O)[C]2c3c1c(C#N)cc1=C4OC(=C5[C]6N4[C](C(=c31)C=C2)OC(=[N])C6=C(C(=C5C#N)C(=O)[O-])C#N)[N])C(=O)[O-].N#Cc1cc(ccc1C(=O)[O-])N1C(=O)c2cc(C#N)c3c4c2c(C1=O)c(C#N)cc4C(=O)N(C3=O)c1ccc(cc1)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;5054898,Zn.DMHRLZJJPVLBDD.JNZZAMPRCGKPHA.KHPCSWBSYUJWBI.MOFkey-v1.pcu
5054899,N#CC1=C2C3=C(C(=CC4=C5N6[C](C(=C1)[C]34)OC(=C1[C]6C(=CN=C1)C(=[N])O5)[N])C#N)[C]1N(C2=O)C2=CC=N[CH]C2=C(O1)[N].N#C[C]1C(=CC=C2C1=C([N])O[C]1N2C(=O)[C]2c3c1c(C#N)cc1=C4OC(=C5[C]6N4[C](C(=c31)C=C2)OC(=[N])C6=C(C(=C5C#N)C(=O)[O-])C#N)[N])C(=O)[O-].N#Cc1cc(ccc1C(=O)[O-])N1C(=O)c2cc(C#N)c3c4c2c(C1=O)c(C#N)cc4C(=O)N(C3=O)c1ccc(cc1)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat1;5054899,Zn.DMHRLZJJPVLBDD.JNZZAMPRCGKPHA.KHPCSWBSYUJWBI.MOFkey-v1.pcu
5054900,* MOFid-v1.NA.NA;5054900,
5054901,* MOFid-v1.NA.NA;5054901,
5054902,* MOFid-v1.NA.NA;5054902,
5054903,* MOFid-v1.NA.NA;5054903,
5054904,* MOFid-v1.NA.NA;5054904,
5054905,COc1c(cc(c(c1OC)N1C(=O)c2c(OC)c(OC)c3c4c2c(C1=O)c(OC)c(c4C(=O)N(C3=O)c1ccc(cc1)C(=O)[O-])OC)OC)C(=O)[O-].COc1cc(C(=O)[O-])c(cc1N1C(=O)c2ccc3c4c2c(C1=O)c(OC)cc4C(=O)N(C3=O)c1ccc(c(c1)OC)C(=O)[O-])OC.COc1nccc(c1OC)N1C(=O)c2ccc3c4c2c(C1=O)cc(c4C(=O)N(C3=O)c1ccncc1)OC.[Zn][Zn] MOFid-v1.pcu,ERROR.cat0;5054905,Zn.ATHRLEYQMVFKJF.FEGUFWAIGNLWTP.IJJOIPGNGNJBIB.MOFkey-v1.pcu
5054906,COc1c(cc(c(c1OC)N1C(=O)c2c(OC)c(OC)c3c4c2c(C1=O)c(OC)c(c4C(=O)N(C3=O)c1ccc(cc1)C(=O)[O-])OC)OC)C(=O)[O-].COc1cc(C(=O)[O-])c(cc1N1C(=O)c2ccc3c4c2c(C1=O)c(OC)cc4C(=O)N(C3=O)c1ccc(c(c1)OC)C(=O)[O-])OC.COc1nccc(c1OC)N1C(=O)c2ccc3c4c2c(C1=O)cc(c4C(=O)N(C3=O)c1ccncc1)OC.[Zn][Zn] MOFid-v1.pcu,ERROR.cat1;5054906,Zn.ATHRLEYQMVFKJF.FEGUFWAIGNLWTP.IJJOIPGNGNJBIB.MOFkey-v1.pcu
5054907,COc1cc(ccc1C(=O)[O-])N1C(=O)c2ccc3c4c2c(C1=O)c(OC)cc4C(=O)N(C3=O)c1ccc(cc1)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu,ERROR.cat0;5054907,Zn.OUOVKKFTLXZONU.MOFkey-v1.pcu
5054908,COc1cc(ccc1C(=O)[O-])N1C(=O)c2ccc3c4c2c(C1=O)c(OC)cc4C(=O)N(C3=O)c1ccc(cc1)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu,ERROR.cat1;5054908,Zn.OUOVKKFTLXZONU.MOFkey-v1.pcu
5054909,COc1cc(ccc1C(=O)[O-])N1C(=O)c2ccc3c4c2c(C1=O)c(OC)cc4C(=O)N(C3=O)c1ccc(cc1)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu,ERROR.cat2;5054909,Zn.OUOVKKFTLXZONU.MOFkey-v1.pcu
5054910,* MOFid-v1.NA.NAno_mof;5054910,NA.MISSING_LINKERS.MOFkey-v1
5054911,* MOFid-v1.NA.NAno_mof;5054911,NA.MISSING_LINKERS.MOFkey-v1
5054912,CCOC1=[N]=C(OCC)C=C([CH]1)N1C(=O)c2ccc3c4c2c(C1=O)cc(c4[C]N(C3=O)c1ccnc(c1)OCC)OCC.CCOc1cc(c(c(c1C(=O)[O-])[O])OCC)N1C(=O)c2cc([O])c3c4c2c(C1=O)c(OCC)c(c4C(=O)N(C3=O)c1ccc(cc1O[CH2])C(=O)[O-])OCC.[Zn][Zn] MOFid-v1.pcu.cat0;5054912,Zn.RXHBREMLKAHMSG.VWUWGSVZWYFBNH.MOFkey-v1.pcu
5054913,CCOC1=[N]=C(OCC)C=C([CH]1)N1C(=O)c2ccc3c4c2c(C1=O)cc(c4[C]N(C3=O)c1ccnc(c1)OCC)OCC.CCOc1cc(c(c(c1C(=O)[O-])[O])OCC)N1C(=O)c2cc([O])c3c4c2c(C1=O)c(OCC)c(c4C(=O)N(C3=O)c1ccc(cc1O[CH2])C(=O)[O-])OCC.[Zn][Zn] MOFid-v1.pcu.cat1;5054913,Zn.RXHBREMLKAHMSG.VWUWGSVZWYFBNH.MOFkey-v1.pcu
5054914,CCOC1=N[CH]C(=C([CH]1)N1[C]c2c(OCC)cc3c4c2c(C1=O)cc(c4C(=O)N(C3=O)c1ccncc1)OCC)OCC.CCOc1c(ccc(c1OCC)N1[C]c2c(OCC)c(OCC)c3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1c(OCC)cc(c(c1OCC)OCC)C(=O)[O-])C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;5054914,Zn.GOZYKKSCIPBUJV.ZLXTXKIURGXDOD.MOFkey-v1.pcu
5054915,CCOc1cc(ccc1C(=O)[O-])N1[C]c2c(OCC)cc3c4c2c(C1=O)c(OCC)c(c4C(=O)N(C3=O)c1c(OCC)cc(c(c1OCC)OCC)C(=O)[O-])OCC.CCOc1cc(ccc1N1C(=O)c2cc(O[CH2])c3c4c2c(C1=O)c(OCC)cc4C(=O)N(C3=O)c1c(O[CH2])cc(cc1OCC)C(=O)[O-])C(=O)[O-].CCOc1nccc(c1)N1C(=O)c2ccc3c4c2c(C1=O)c(OCC)c(c4C(=O)N(C3=O)C1=C(OCC)[CH]N=C([CH]1)OCC)OCC.[Zn][Zn] MOFid-v1.pcu.cat0;5054915,Zn.FNGUQUWTBLRNHX.NGSQZNTVXREQMJ.PBERUMUVKGHHLQ.MOFkey-v1.pcu
5054916,CCOc1cc(c(cc1C(=O)[O-])OCC)N1C(=O)c2cc(OCC)c3c4c2c(C1=O)c(OCC)c(c4C(=O)N(C3=O)c1ccc(cc1OCC)C(=O)[O-])OCC.CCOc1cc(ccc1N1[C]c2c(OCC)cc3c4c2c(C1=O)cc(c4C(=O)N(C3=O)c1cc([O])c(c(c1OCC)OCC)C(=O)[O-])OCC)C(=O)[O-].CCOc1nccc(c1)N1C(=O)c2cc(OCC)c3c4c2c(C1=O)c(OCC)cc4C(=O)N(C3=O)c1cc(OCC)ncc1OCC.[Zn][Zn] MOFid-v1.pcu.cat0;5054916,Zn.FYCLKNVIHUSNEP.KXIMSMSDMXJABP.YXZMQHVDUYWROL.MOFkey-v1.pcu
5054917,CCOc1c(OCC)nccc1N1C(=O)c2cc(OCC)c3c4c2c(C1=O)c(OCC)cc4C(=O)N(C3=O)c1c(OCC)cncc1OCC.CCOc1cc(ccc1C(=O)[O-])N1C(=O)c2cc(OCC)c3c4c2c(C1=O)c(OCC)cc4C(=O)N(C3=O)c1ccc(cc1)C(=O)[O-].CCOc1cc(ccc1C(=O)[O-])N1[C]c2c(OCC)c(OCC)c3c4c2c(C1=O)c(OCC)c(c4C(=O)N(C3=O)c1c(OCC)cc(cc1OCC)C(=O)[O-])OCC.[Zn][Zn] MOFid-v1.pcu.cat0;5054917,Zn.AWDZHWNAXACVTJ.RAJYRQBLGWQJLT.UDBIHRYSXSMCTA.MOFkey-v1.pcu
5054918,* MOFid-v1.NA.NA;5054918,
5054919,N=NC1=N[CH]C2=C3[C]1[N]NO[C]1N3C(=C3[C]4C1=C(N=N)C=C1C4=C(C=C3)[C]3N(C1=O)c1ccnc(c1N(O3)[NH])N=N)ON2[NH].N=Nc1cc(ccc1C(=O)[O-])N1C(=O)c2cc(N=N)c3c4c2c(C1=O)c(N=N)cc4[C]1N(C3=O)c2ccc(c(c2[N]NO1)N=N)C(=O)[O-].N=Nc1cc2c(cc1C(=O)[O-])N([NH])O[C]1N2C(=O)c2cc(N=N)c3c4c2c1cc(c4C(=O)N(C3=O)c1ccc2c(c1)[N]NOC2=O)N=N.[Zn][Zn] MOFid-v1.pcu,sql.cat0;5054919,Zn.KZKFXJWYPVCAOL.YAYRWGKPANGHHV.YGXFHFJEEXBUFY.MOFkey-v1.pcu
5054920,N=NC1=N[CH]C2=C3[C]1[N]NO[C]1N3C(=C3[C]4C1=C(N=N)C=C1C4=C(C=C3)[C]3N(C1=O)c1ccnc(c1N(O3)[NH])N=N)ON2[NH].N=Nc1cc(ccc1C(=O)[O-])N1C(=O)c2cc(N=N)c3c4c2c(C1=O)c(N=N)cc4[C]1N(C3=O)c2ccc(c(c2[N]NO1)N=N)C(=O)[O-].N=Nc1cc2c(cc1C(=O)[O-])N([NH])O[C]1N2C(=O)c2cc(N=N)c3c4c2c1cc(c4C(=O)N(C3=O)c1ccc2c(c1)[N]NOC2=O)N=N.[Zn][Zn] MOFid-v1.pcu,sql.cat1;5054920,Zn.KZKFXJWYPVCAOL.YAYRWGKPANGHHV.YGXFHFJEEXBUFY.MOFkey-v1.pcu
5054921,[O-]C(=O)c1ccc(cc1)N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-].[Zn][Zn].c1ncc2c(c1)cncc2 MOFid-v1.pcu.cat0;5054921,Zn.RXOHFPCZGPKIRD.SSNMISUJOQAFRR.YNACRJFIOLJWEO.MOFkey-v1.pcu
5054922,O=C1N(c2ccncc2)C(=O)c2c3c1ccc1c3c(cc2)C(=O)N(C1=O)c1ccncc1.[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;5054922,Zn.IBRPEOCBRYYINT.RXOHFPCZGPKIRD.MOFkey-v1.pcu
