5062108,* MOFid-v1.NA.NA;5062108,
5062121,FC(=NF)C=N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC(=CC(=O)[O-])F MOFid-v1.pcu.cat1;5062121,Cu.IVHBREJLPGXBAS.OMOYXGWQQCUILM.OZSAECPLLVFZIE.MOFkey-v1.pcu
5062122,N=CC(=N)F.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-] MOFid-v1.pcu.cat0;5062122,Cu.IVHBREJLPGXBAS.SFSXFCQFQAKMFE.MOFkey-v1.pcu
5062123,N=CC(=N)F.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-] MOFid-v1.pcu.cat1;5062123,Cu.IVHBREJLPGXBAS.SFSXFCQFQAKMFE.MOFkey-v1.pcu
5062124,N=CC(=N)F.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-] MOFid-v1.pcu.cat2;5062124,Cu.IVHBREJLPGXBAS.SFSXFCQFQAKMFE.MOFkey-v1.pcu
5062125,N=CC(=N)F.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-] MOFid-v1.pcu.cat3;5062125,Cu.IVHBREJLPGXBAS.SFSXFCQFQAKMFE.MOFkey-v1.pcu
5062126,FN=CC(=N)F.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC=C(C(=O)[O-])F MOFid-v1.pcu.cat0;5062126,Cu.IVHBREJLPGXBAS.JEZLWMJEAXUSBA.PTYIDKBTGREHJW.MOFkey-v1.pcu
5062127,FN=CC(=N)F.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC=C(C(=O)[O-])F MOFid-v1.pcu.cat1;5062127,Cu.IVHBREJLPGXBAS.JEZLWMJEAXUSBA.PTYIDKBTGREHJW.MOFkey-v1.pcu
5062128,[Cu][Cu].[N]=CC=[N].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC(=C(C(=O)[O-])F)F MOFid-v1.pcu.cat0;5062128,Cu.IVHBREJLPGXBAS.XMAWAFYFYZFEMT.XVDURFYEHSAKDB.MOFkey-v1.pcu
5062129,[Cu][Cu].[N]=CC=[N].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC(=C(C(=O)[O-])F)F MOFid-v1.pcu.cat1;5062129,Cu.IVHBREJLPGXBAS.XMAWAFYFYZFEMT.XVDURFYEHSAKDB.MOFkey-v1.pcu
5062130,FN=C(C(=N)F)F.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC=C(C(=O)[O-])F MOFid-v1.pcu.cat0;5062130,Cu.IVHBREJLPGXBAS.PTYIDKBTGREHJW.QWNBCASECAJUST.MOFkey-v1.pcu
5062131,FN=C(C(=N)F)F.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC=C(C(=O)[O-])F MOFid-v1.pcu.cat1;5062131,Cu.IVHBREJLPGXBAS.PTYIDKBTGREHJW.QWNBCASECAJUST.MOFkey-v1.pcu
5062132,FN=C(C(=N)F)F.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC=C(C(=O)[O-])F MOFid-v1.pcu.cat2;5062132,Cu.IVHBREJLPGXBAS.PTYIDKBTGREHJW.QWNBCASECAJUST.MOFkey-v1.pcu
5062133,ClC(=N)C(=N)Cl.[Cu][Cu].[O-]C(=O)C=CC(=[C]C(=O)[O-])Cl.[O-]C(=O)[C]=CC=[C]C(=O)[O-] MOFid-v1.pcu.cat0;5062133,Cu.NQJZMDSINWAVII.QDUHUFYWFGTLGR.SMLQULHUANUXPK.MOFkey-v1.pcu
5062134,ClC(=N)C(=N)Cl.[Cu][Cu].[O-]C(=O)C=CC(=[C]C(=O)[O-])Cl.[O-]C(=O)[C]=CC=[C]C(=O)[O-] MOFid-v1.pcu.cat1;5062134,Cu.NQJZMDSINWAVII.QDUHUFYWFGTLGR.SMLQULHUANUXPK.MOFkey-v1.pcu
5062135,N=CC(=N)Cl.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC=CC(=O)[O-] MOFid-v1.pcu.cat0;5062135,Cu.IVHBREJLPGXBAS.QGHUYMFWUPTPQR.TXXHDPDFNKHHGW.MOFkey-v1.pcu
5062136,N=CC(=N)Cl.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC=CC(=O)[O-] MOFid-v1.pcu.cat1;5062136,Cu.IVHBREJLPGXBAS.QGHUYMFWUPTPQR.TXXHDPDFNKHHGW.MOFkey-v1.pcu
5062137,Cl[C](C#CC(=O)[O-])C#C[C]C(=O)[O-].N=C[C]=N.[Cu][Cu].[O-]C(=O)C=CC=CC(=O)[O-] MOFid-v1.pcu.cat2;5062137,Cu.IBYCQUUJJFJEQD.OVCUMGNCEXHNNA.TXXHDPDFNKHHGW.MOFkey-v1.pcu
5062138,[Cu][Cu].[N]=CC(=N)Cl.[Cl].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=C(C=C(C(=O)[O-])Cl)Cl MOFid-v1.pcu.cat0;5062138,Cu.FHXOPKKNGKBBKG.IVHBREJLPGXBAS.YVJOEVJRHGTOMR.MOFkey-v1.pcu
5062139,ClN=CC(=N)Cl.[Cu][Cu].[N]=CC(=N)Cl.[Cl].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=C(C=C(C(=O)[O-])Cl)Cl MOFid-v1.pcu.cat1;5062139,Cu.FHXOPKKNGKBBKG.IVHBREJLPGXBAS.MUBDMJIZYNYYQR.YVJOEVJRHGTOMR.MOFkey-v1.pcu
5062140,ClN=C[C]=N.Cl[C](C#CC(=O)[O-])C#C[C]C(=O)[O-].Cl[C](C#CC(=O)[O-])[C]C#CC(=O)[O-].[Cu][Cu].[O-]C(=O)C=C(C=C(C(=O)[O-])Cl)Cl MOFid-v1.pcu.cat2;5062140,Cu.FHXOPKKNGKBBKG.IBYCQUUJJFJEQD.INJJTPCCSPJDFC.MOFkey-v1.pcu
5062141,N#CC#CC#N.[Cu][Cu].[O-]C(=O)C=CC(=CC(=O)[O-])Cl.[O-]C(=O)C=CC=CC(=O)[O-] MOFid-v1.pcu.cat0;5062141,Cu.ICMVYBXQDUXEEE.TXXHDPDFNKHHGW.ZEHZNAXXOOYTJM.MOFkey-v1.pcu
5062142,N#CC#CC#N.[Cu][Cu].[O-]C(=O)C=CC(=CC(=O)[O-])Cl.[O-]C(=O)C=CC=CC(=O)[O-] MOFid-v1.pcu.cat1;5062142,Cu.ICMVYBXQDUXEEE.TXXHDPDFNKHHGW.ZEHZNAXXOOYTJM.MOFkey-v1.pcu
5062143,N#CC#CC#N.[Cu][Cu].[O-]C(=O)C=CC=CC(=O)[O-].[O-]C(=O)[C]=CC(=[C]C(=O)[O-])Cl MOFid-v1.pcu.cat0;5062143,Cu.TXXHDPDFNKHHGW.WDFYBLQYJIHJJY.ZEHZNAXXOOYTJM.MOFkey-v1.pcu
5062144,N#CC#CC#N.[Cu][Cu].[O-]C(=O)C=CC=CC(=O)[O-].[O-]C(=O)[C]=CC(=[C]C(=O)[O-])Cl MOFid-v1.pcu.cat1;5062144,Cu.TXXHDPDFNKHHGW.WDFYBLQYJIHJJY.ZEHZNAXXOOYTJM.MOFkey-v1.pcu
5062145,BrC(=N)C(=[N])Br.[Br].[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC=[C]C(=O)[O-] MOFid-v1.pcu.cat0;5062145,Cu.FPYKLZCQFJNTBQ.IVHBREJLPGXBAS.ZEOCAOWXQPNKFB.MOFkey-v1.pcu
5062146,BrC(=N)C(=[N])Br.[Br].BrN=C(C(=N)Br)Br.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC=[C]C(=O)[O-] MOFid-v1.pcu.cat1;5062146,Cu.FPYKLZCQFJNTBQ.IVHBREJLPGXBAS.LKSUKESNNZEZLR.ZEOCAOWXQPNKFB.MOFkey-v1.pcu
5062147,BrC(=N)C(=[N])Br.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC=CC(=O)[O-] MOFid-v1.pcu.cat0;5062147,Cu.IVHBREJLPGXBAS.TXXHDPDFNKHHGW.XXSXNTLIRDOFDH.MOFkey-v1.pcu
5062148,BrC(=N)C(=[N])Br.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC=CC(=O)[O-] MOFid-v1.pcu.cat1;5062148,Cu.IVHBREJLPGXBAS.TXXHDPDFNKHHGW.XXSXNTLIRDOFDH.MOFkey-v1.pcu
5062149,BrC(=CC(=O)[O-])C(=[C]C(=O)[O-])Br.[Br].N=CC(=[N])Br.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-] MOFid-v1.pcu.cat0;5062149,Cu.HVRSLJAKTHWUCW.IVHBREJLPGXBAS.MVDQZSSEIHDQAN.MOFkey-v1.pcu
5062150,BrC(=CC(=O)[O-])C(=[C]C(=O)[O-])Br.[Br].N=CC(=[N])Br.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=C(C(=C(C(=O)[O-])Br)Br)Br MOFid-v1.pcu.cat1;5062150,Cu.HVRSLJAKTHWUCW.IVHBREJLPGXBAS.MVDQZSSEIHDQAN.UNBPZZUHBWVSGY.MOFkey-v1.pcu
5062151,Br[C](C#CC(=O)[O-])C#C[C]C(=O)[O-].[O-]C(=O)C=C([C]=C(C(=O)[O-])Br)Br.[Cu][Cu].[N]=[C]C=N MOFid-v1.UNKNOWN.cat0;5062151,Cu.CJXYFLLWEIHRLH.LAVVSPWGGHZKLI.MOFkey-v1.UNKNOWN
5062152,N#CC#CC#N.[Cu][Cu].[O-]C(=O)C=CC(=C(C(=O)[O-])Br)Br.[O-]C(=O)C=C[C]=[C]C(=O)[O-] MOFid-v1.pcu.cat0;5062152,Cu.BNKVGQROEKSRGL.PGRBXJZFUHCTKB.ZEHZNAXXOOYTJM.MOFkey-v1.pcu
5062153,N#CC#CC#N.[Cu][Cu].[O-]C(=O)C=CC(=C(C(=O)[O-])Br)Br.[O-]C(=O)C=C[C]=[C]C(=O)[O-] MOFid-v1.pcu.cat1;5062153,Cu.BNKVGQROEKSRGL.PGRBXJZFUHCTKB.ZEHZNAXXOOYTJM.MOFkey-v1.pcu
5062154,BrC(=CC(=O)[O-])C(=CC(=O)[O-])Br.BrC(=N)C(=[N])Br.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-] MOFid-v1.pcu.cat0;5062154,Cu.IVHBREJLPGXBAS.RHHCUCUGQPHWRC.XXSXNTLIRDOFDH.MOFkey-v1.pcu
5062155,BrC(=CC(=O)[O-])C(=CC(=O)[O-])Br.BrC(=N)C(=[N])Br.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-] MOFid-v1.pcu.cat1;5062155,Cu.IVHBREJLPGXBAS.RHHCUCUGQPHWRC.XXSXNTLIRDOFDH.MOFkey-v1.pcu
5062156,N#CC#CC#N.[Cu][Cu].[O-]C(=O)C=CC(=CC(=O)[O-])C.[O-]C(=O)C=CC=C(C(=O)[O-])C MOFid-v1.pcu.cat0;5062156,Cu.LEQDZBVDPGNGMH.VCPQFDRBOZTBAO.ZEHZNAXXOOYTJM.MOFkey-v1.pcu
5062157,N#CC#CC#N.[Cu][Cu].[O-]C(=O)C=CC(=CC(=O)[O-])C.[O-]C(=O)C=CC=C(C(=O)[O-])C MOFid-v1.pcu.cat1;5062157,Cu.LEQDZBVDPGNGMH.VCPQFDRBOZTBAO.ZEHZNAXXOOYTJM.MOFkey-v1.pcu
5062158,N#CC#CC#N.[Cu][Cu].[O-]C(=O)C=CC(=CC(=O)[O-])C.[O-]C(=O)C=CC=C(C(=O)[O-])C MOFid-v1.pcu.cat2;5062158,Cu.LEQDZBVDPGNGMH.VCPQFDRBOZTBAO.ZEHZNAXXOOYTJM.MOFkey-v1.pcu
5062159,CN=CC=N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC(=CC(=O)[O-])C MOFid-v1.pcu.cat0;5062159,Cu.AOIAFNUHFDMYJG.IVHBREJLPGXBAS.LEQDZBVDPGNGMH.MOFkey-v1.pcu
5062160,CN=CC=N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC(=CC(=O)[O-])C MOFid-v1.pcu.cat1;5062160,Cu.AOIAFNUHFDMYJG.IVHBREJLPGXBAS.LEQDZBVDPGNGMH.MOFkey-v1.pcu
5062161,CC(=CC(=O)[O-])C(=CC(=O)[O-])C.CN=CC(=N)C.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-] MOFid-v1.pcu.cat0;5062161,Cu.CMEHCJOKWXDZIB.IVHBREJLPGXBAS.MYFASAHLOUFRSF.MOFkey-v1.pcu
5062162,CC(=CC(=O)[O-])C(=CC(=O)[O-])C.CN=CC(=N)C.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-] MOFid-v1.pcu.cat1;5062162,Cu.CMEHCJOKWXDZIB.IVHBREJLPGXBAS.MYFASAHLOUFRSF.MOFkey-v1.pcu
5062163,CN=CC=N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=C(C=C(C(=O)[O-])C)C MOFid-v1.pcu.cat0;5062163,Cu.AOIAFNUHFDMYJG.IVHBREJLPGXBAS.SYMNCEZYEJKBBZ.MOFkey-v1.pcu
5062164,CN=CC=N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=C(C=C(C(=O)[O-])C)C MOFid-v1.pcu.cat1;5062164,Cu.AOIAFNUHFDMYJG.IVHBREJLPGXBAS.SYMNCEZYEJKBBZ.MOFkey-v1.pcu
5062165,CN=CC=N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=C(C=C(C(=O)[O-])C)C MOFid-v1.pcu.cat2;5062165,Cu.AOIAFNUHFDMYJG.IVHBREJLPGXBAS.SYMNCEZYEJKBBZ.MOFkey-v1.pcu
5062166,N#CC#CC#N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC(=C(C(=O)[O-])C)C MOFid-v1.pcu.cat0;5062166,Cu.ACDCZGWPKSKPDG.IVHBREJLPGXBAS.ZEHZNAXXOOYTJM.MOFkey-v1.pcu
5062167,N#CC#CC#N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC(=C(C(=O)[O-])C)C MOFid-v1.pcu.cat1;5062167,Cu.ACDCZGWPKSKPDG.IVHBREJLPGXBAS.ZEHZNAXXOOYTJM.MOFkey-v1.pcu
5062168,N#CC#CC#N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC(=C(C(=O)[O-])C)C MOFid-v1.pcu.cat2;5062168,Cu.ACDCZGWPKSKPDG.IVHBREJLPGXBAS.ZEHZNAXXOOYTJM.MOFkey-v1.pcu
5062169,N#CC#CC#N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC(=C(C(=O)[O-])C)C MOFid-v1.pcu.cat3;5062169,Cu.ACDCZGWPKSKPDG.IVHBREJLPGXBAS.ZEHZNAXXOOYTJM.MOFkey-v1.pcu
5062170,CCC(=CC(=O)[O-])C=C(C(=O)[O-])CC.N#CC#CC#N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-] MOFid-v1.pcu.cat0;5062170,Cu.IVHBREJLPGXBAS.MMWUSHQEHBHLRW.ZEHZNAXXOOYTJM.MOFkey-v1.pcu
5062171,CCC(=CC(=O)[O-])C=C(C(=O)[O-])CC.N#CC#CC#N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-] MOFid-v1.pcu.cat1;5062171,Cu.IVHBREJLPGXBAS.MMWUSHQEHBHLRW.ZEHZNAXXOOYTJM.MOFkey-v1.pcu
5062172,CCC(=CC(=O)[O-])C=C(C(=O)[O-])CC.N#CC#CC#N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-] MOFid-v1.pcu.cat2;5062172,Cu.IVHBREJLPGXBAS.MMWUSHQEHBHLRW.ZEHZNAXXOOYTJM.MOFkey-v1.pcu
5062173,CCC(=C(C(=O)[O-])CC)C=CC(=O)[O-].CCN=CC(=N)CC.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-] MOFid-v1.pcu.cat0;5062173,Cu.IVHBREJLPGXBAS.KGKNSMTUOMGDQC.SIZHAVPXTRCOFS.MOFkey-v1.pcu
5062174,CCC(=C(C(=O)[O-])CC)C=CC(=O)[O-].CCN=CC(=N)CC.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-] MOFid-v1.pcu.cat1;5062174,Cu.IVHBREJLPGXBAS.KGKNSMTUOMGDQC.SIZHAVPXTRCOFS.MOFkey-v1.pcu
5062175,CCC(=CC(=O)[O-])C(=C(C(=O)[O-])CC)CC.CCN=CC(=N)CC.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-] MOFid-v1.pcu.cat0;5062175,Cu.IVHBREJLPGXBAS.KGKNSMTUOMGDQC.KWSGMPYLAZSBLL.MOFkey-v1.pcu
5062176,CCC(=CC(=O)[O-])C=CC(=O)[O-].CCN=CC(=N)CC.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-] MOFid-v1.pcu.cat0;5062176,Cu.HGPINVBEQXQJRL.IVHBREJLPGXBAS.KGKNSMTUOMGDQC.MOFkey-v1.pcu
5062177,CCC(=CC(=O)[O-])C=CC(=O)[O-].CCN=CC(=N)CC.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-] MOFid-v1.pcu.cat1;5062177,Cu.HGPINVBEQXQJRL.IVHBREJLPGXBAS.KGKNSMTUOMGDQC.MOFkey-v1.pcu
5062178,CCCC(=CC(=O)[O-])C=CC(=O)[O-].CCCN=CC=N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-] MOFid-v1.pcu.cat0;5062178,Cu.IVHBREJLPGXBAS.TXRGVUOVAXHZST.WBSHKJZWJAVRRA.MOFkey-v1.pcu
5062179,CCCC(=CC(=O)[O-])C=CC(=O)[O-].CCCN=CC=N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-] MOFid-v1.pcu.cat1;5062179,Cu.IVHBREJLPGXBAS.TXRGVUOVAXHZST.WBSHKJZWJAVRRA.MOFkey-v1.pcu
5062180,CCCC(=C(C(=O)[O-])CCC)C=CC(=O)[O-].CCCN=CC(=N)CCC.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-] MOFid-v1.pcu.cat0;5062180,Cu.GVADLZZLTVYWDN.IVHBREJLPGXBAS.ZDCKOBCOLADJGN.MOFkey-v1.pcu
5062181,CCCN=C(CCC)C=N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C(=CC=CC(=O)[O-])CCC MOFid-v1.pcu.cat0;5062181,Cu.IVHBREJLPGXBAS.KRZXSFYBPLHCDO.YZIAAROMSWBOHG.MOFkey-v1.pcu
5062182,CCCN=C(CCC)C=N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C(=CC=CC(=O)[O-])CCC MOFid-v1.pcu.cat1;5062182,Cu.IVHBREJLPGXBAS.KRZXSFYBPLHCDO.YZIAAROMSWBOHG.MOFkey-v1.pcu
5062183,N=CC(=N)N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC=C(C(=O)[O-])N MOFid-v1.pcu.cat0;5062183,Cu.IVHBREJLPGXBAS.VODZKSFXXIWOJO.ZRHONLCTYUYMIQ.MOFkey-v1.pcu
5062184,N=CC(=N)N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC=C(C(=O)[O-])N MOFid-v1.pcu.cat1;5062184,Cu.IVHBREJLPGXBAS.VODZKSFXXIWOJO.ZRHONLCTYUYMIQ.MOFkey-v1.pcu
5062185,NC1=N[NH2][NH2]N=C1.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC=C(C(=O)[O-])N MOFid-v1.pcu.cat0;5062185,Cu.IVHBREJLPGXBAS.QOMUFAVQGVXQTF.ZRHONLCTYUYMIQ.MOFkey-v1.pcu
5062186,NC1=N[NH2][NH2]N=C1.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC=C(C(=O)[O-])N MOFid-v1.pcu.cat1;5062186,Cu.IVHBREJLPGXBAS.QOMUFAVQGVXQTF.ZRHONLCTYUYMIQ.MOFkey-v1.pcu
5062187,N#CC#CC#N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC=CC(=O)[O-] MOFid-v1.pcu.cat0;5062187,Cu.IVHBREJLPGXBAS.TXXHDPDFNKHHGW.ZEHZNAXXOOYTJM.MOFkey-v1.pcu
5062188,N#CC#CC#N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC=CC(=O)[O-] MOFid-v1.pcu.cat1;5062188,Cu.IVHBREJLPGXBAS.TXXHDPDFNKHHGW.ZEHZNAXXOOYTJM.MOFkey-v1.pcu
5062189,N#CC#CC#N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC=CC(=O)[O-] MOFid-v1.pcu.cat2;5062189,Cu.IVHBREJLPGXBAS.TXXHDPDFNKHHGW.ZEHZNAXXOOYTJM.MOFkey-v1.pcu
5062191,N#CC#CC#N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-] MOFid-v1.pcu.cat0;5062191,Cu.IVHBREJLPGXBAS.ZEHZNAXXOOYTJM.MOFkey-v1.pcu
5062192,N#CC#CC#N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-] MOFid-v1.pcu.cat1;5062192,Cu.IVHBREJLPGXBAS.ZEHZNAXXOOYTJM.MOFkey-v1.pcu
5062193,N#CC#CC#N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-] MOFid-v1.pcu.cat2;5062193,Cu.IVHBREJLPGXBAS.ZEHZNAXXOOYTJM.MOFkey-v1.pcu
5062194,N#CC#CC#N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-] MOFid-v1.pcu.cat3;5062194,Cu.IVHBREJLPGXBAS.ZEHZNAXXOOYTJM.MOFkey-v1.pcu
5062195,NN=CC(=N)N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC=C(C(=O)[O-])N MOFid-v1.pcu.cat0;5062195,Cu.IVHBREJLPGXBAS.SWMZQANLVOSSAI.ZRHONLCTYUYMIQ.MOFkey-v1.pcu
5062196,NN=CC(=N)N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC=C(C(=O)[O-])N MOFid-v1.pcu.cat1;5062196,Cu.IVHBREJLPGXBAS.SWMZQANLVOSSAI.ZRHONLCTYUYMIQ.MOFkey-v1.pcu
5062197,N#CC#CC#N.[Cu][Cu].[O-]C(=O)C(=CC=CC(=O)[O-])c1ccccc1 MOFid-v1.pcu.cat0;5062197,Cu.GZVDVOLJXDLIPV.ZEHZNAXXOOYTJM.MOFkey-v1.pcu
5062198,N#CC#CC#N.[Cu][Cu].[O-]C(=O)C(=CC=CC(=O)[O-])c1ccccc1 MOFid-v1.pcu.cat0;5062198,Cu.GZVDVOLJXDLIPV.ZEHZNAXXOOYTJM.MOFkey-v1.pcu
5062199,* MOFid-v1.NA.NAno_mof;5062199,NA.MISSING_LINKERS.MOFkey-v1
