filename	mofkey
ALASEN_clean.cif	In.ARCGXLSVLAOJQL.SSODQXRGMVULMF.MOFkey-v1.UNKNOWN
ALATAK_clean.cif	Ca.LNVOXMSQVXGERB.MOFkey-v1.fsh
ALEHUW_clean.cif	NA.MISSING_LINKERS.MOFkey-v1
ALEJAE_clean.cif	In.JMOWSAOUOKCSFD.MOFkey-v1.UNKNOWN
ALEJEI_clean.cif	Cu.XZTAJSQTNQWNNN.MOFkey-v1.ERROR
ALEJIM_clean.cif	Zn.XZTAJSQTNQWNNN.MOFkey-v1.ERROR
ALEQIT_clean.cif	Tb.KKEYFWRCBNTPAC.MOFkey-v1.UNKNOWN
ALIBUT_clean.cif	ZnMo.JTPNQZBKKYBTJS.QKZCQDVVHRSPHH.MOFkey-v1.ERROR
ALICAA_clean.cif	ZnW.JTPNQZBKKYBTJS.QKZCQDVVHRSPHH.MOFkey-v1.ERROR
ALICEE_clean.cif	Cu.PEUPUKDBCPLDIH.MOFkey-v1.srs
ALICII_clean.cif	Cu.PEUPUKDBCPLDIH.MOFkey-v1.srs
ALIFUY_clean.cif	Cd.KVMNHGRNHGFRTK.MWVTWFVJZLCBMC.MOFkey-v1.dia
ALIPEQ_clean.cif	ZrCd.MUBZPKHOEPUJKR.MOFkey-v1.ERROR
ALIXAU_clean_h.cif	Cu.VKILCBQGYLEJAM.XQFTVFVKLWVHNX.ZVXZECODLJQPLK.MOFkey-v1.sod
ALIXID_clean.cif	Co.RAESDWWKTFZWJA.MOFkey-v1.UNKNOWN
ALIXOJ_clean.cif	Ni.RAESDWWKTFZWJA.MOFkey-v1.crb
ALIXUP_clean.cif	Cu.RAESDWWKTFZWJA.MOFkey-v1.pts
ALOLES_ion_b.cif	KBi.HODXLWXUPDJDJO.MOBQTPKOGDYOIG.ZNUPFPDYTYEGAA.MOFkey-v1.UNKNOWN
ALOLET_charged.cif	In.BARJIUNCRBLVPZ.DEEASGNVNURNAL.KFVNIYYPNOETGL.NEQFBGHQPUXOFH.MOFkey-v1.npo
ALOLIX_charged.cif	InCs.DEEASGNVNURNAL.NEQFBGHQPUXOFH.PIGVMZAWKQFCMK.QXBJSSHDJIPICS.MOFkey-v1.ERROR
